"trial","ref_position","var_area","response","correct","rt"
1,"L",10.5300991120748,"L",FALSE,15.9779999256134
2,"R",10.2736901796889,"L",TRUE,7.66900014877319
3,"R",9.12156335008331,"R",FALSE,3.4779999256134
4,"L",14.3087446989957,"L",FALSE,2.98600006103516
5,"L",14.6599335120991,"L",FALSE,1.69299983978271
6,"R",8.31774791073985,"R",TRUE,1.88800001144409
7,"R",14.5090435559396,"L",TRUE,1.69400000572205
8,"L",8.85529462667182,"L",TRUE,1.98499989509583
9,"L",12.5443394156173,"R",TRUE,2.68799996376038
10,"L",11.9399333049078,"L",FALSE,1.49199986457825
11,"R",13.6888358350843,"L",TRUE,1.57100009918213
12,"R",9.00725031201728,"R",FALSE,0.592000007629395
13,"L",10.0043895025738,"L",FALSE,0.584000110626221
14,"R",14.9998370413668,"L",TRUE,0.593000173568726
15,"R",9.86677088146098,"L",TRUE,0.58899998664856
16,"R",8.80896294279955,"L",FALSE,0.589999914169312
17,"L",12.7900394513272,"L",FALSE,0.589999914169312
18,"R",14.273756473558,"L",TRUE,0.597000122070312
19,"R",10.5527350711636,"L",TRUE,0.686000108718872
20,"L",9.47528488514945,"L",FALSE,0.684000015258789
